id;pesokg;descripcion;sexo;procedencia;propietario;imagen_url;imagen_url_content_type;video_url;razas_id
1;75391;../fake-data/blob/hipster.txt;FEMENINO;Awesome Fresh Cheese;Shoes supply-chains emulation;../fake-data/blob/hipster.png;image/png;Auto Loan Account;1
2;10687;../fake-data/blob/hipster.txt;OTRO;Venezuela Architect plum;Clothing;../fake-data/blob/hipster.png;image/png;Auto Loan Account;2
3;80147;../fake-data/blob/hipster.txt;FEMENINO;client-driven interactive;Secured;../fake-data/blob/hipster.png;image/png;Incredible out-of-the-box;3
4;42855;../fake-data/blob/hipster.txt;MASCULINO;Awesome Granite Salad Strategist Berkshire;Chicken;../fake-data/blob/hipster.png;image/png;strategize Concrete;4
5;48268;../fake-data/blob/hipster.txt;OTRO;portals Shirt;payment Infrastructure;../fake-data/blob/hipster.png;image/png;withdrawal;5
6;55580;../fake-data/blob/hipster.txt;OTRO;Exclusive;white;../fake-data/blob/hipster.png;image/png;Svalbard & Jan Mayen Islands bluetooth Cotton;6
7;86516;../fake-data/blob/hipster.txt;FEMENINO;e-commerce quantify Tactics;compressing;../fake-data/blob/hipster.png;image/png;Practical SSL Fantastic;7
8;48279;../fake-data/blob/hipster.txt;MASCULINO;multi-byte Function-based;International Auto Loan Account;../fake-data/blob/hipster.png;image/png;Mountain;8
9;77751;../fake-data/blob/hipster.txt;FEMENINO;ivory;reintermediate alarm Baby;../fake-data/blob/hipster.png;image/png;redundant Metal;9
10;25467;../fake-data/blob/hipster.txt;FEMENINO;Borders Madagascar Sleek;Cotton Republic of Korea;../fake-data/blob/hipster.png;image/png;monitor Wallis and Futuna;10
