id;nombre;code
1;bricks-and-clicks Sausages deposit;Handmade Frozen Hat Synergistic pink
2;revolutionary Intelligent Fresh Chips;Central payment Tools
3;bifurcated;e-commerce EXE
4;expedite Field;Representative Ball Movies
5;Business-focused deposit Alaska;North Dakota
6;Usability Berkshire navigate;Borders Soft firewall
7;European Unit of Account 9(E.U.A.-9) Zimbabwe Dollar;Cove
8;yellow Coordinator;capacitor Specialist Engineer
9;Maldives Garden Managed;digital Checking Account THX
10;Terrace quantifying Technician;Borders
