id;tipo;url;imagen_url;imagen_url_content_type;texto;entidad;id_entidad
1;VIDEO;http://rafael.biz;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;Pujas;Intelligent superstructure Turnpike
2;VIDEO;https://jamir.info;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;Cliente;Berkshire Somali Shilling invoice
3;VIDEO;http://gennaro.net;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;Cliente;Libyan Dinar Cambridgeshire robust
4;VIDEO;http://fannie.com;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;Pujadores;Refined Plastic Pants
5;TEXTO;http://manuela.name;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;Cliente;Bacon
6;VIDEO;https://jeffery.org;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;Cliente;Shoes mobile interactive
7;IMAGEN;http://sandy.info;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;Cliente;Inverse
8;VIDEO;http://graham.info;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;Animales;algorithm end-to-end bypassing
9;TEXTO;http://danyka.net;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;Cliente;deposit Ghana SMS
10;IMAGEN;https://georgianna.net;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;Pujas;COM Rustic Mouse
