id;id_evento;id_subasta;id_lote;idusuario;idcliente;activo;dispositivo
1;User-centric Multi-channelled;Ergonomic;world-class Synchronised;Borders Rubber;Avon bluetooth;true;Avon
2;Exclusive;1080p deposit yellow;AGP;International Web;hard drive Officer Soap;false;Licensed implementation back up
3;viral Directives;panel;Analyst Uzbekistan;Avon;encompassing collaboration;true;holistic alarm red
4;Unbranded Concrete Tuna solutions;Small;Eritrea Soft;utilize hardware extend;Borders niches Buckinghamshire;false;SMS Investment Account Guyana Dollar
5;Health installation;Credit Card Account;Communications tan;Small United Arab Emirates Regional;parse Savings Account;true;copying Computer
6;microchip;Streets Serbia Sleek Fresh Shirt;stable;Principal;Fantastic Frozen Bike 24/365;true;interface Awesome Fresh Pizza
7;El Salvador Colon US Dollar;Licensed parse;Fall end-to-end ubiquitous;French Southern Territories;Wooden programming indexing;false;transmitter
8;Customer SCSI;Future e-services SCSI;Denar;neural-net back-end framework;Portugal Flats applications;false;payment Profound Road
9;Future;Borders;Optional Corporate;overriding Officer relationships;panel;false;Nevada
10;card Frozen Shores;Planner;Generic Steel Keyboard synthesizing help-desk;Awesome;Investment Account;false;Bhutan
