id;nombre;decripcion;code
1;Gloves Markets;../fake-data/blob/hipster.txt;back-end
2;Baby redefine;../fake-data/blob/hipster.txt;deposit Tactics
3;Cotton Incredible;../fake-data/blob/hipster.txt;Total
4;microchip;../fake-data/blob/hipster.txt;deposit responsive
5;digital plug-and-play architectures;../fake-data/blob/hipster.txt;Checking Account Analyst
6;3rd generation Concrete;../fake-data/blob/hipster.txt;functionalities plum
7;Steel Integration multi-state;../fake-data/blob/hipster.txt;Avon deposit
8;SMTPX;../fake-data/blob/hipster.txt;intangible orchestrate
9;rich Granite;../fake-data/blob/hipster.txt;Buckinghamshire Valley
10;user-facing Incredible;../fake-data/blob/hipster.txt;XSS Assurance
