id;numero;nombre;decripcion;raza;cantidad_animales;pesopromedio;pesototallote;pesobaseporkg;imagen_url;imagen_url_content_type;video_url;idciudad;propietario_id;clasificacionlote_id;subastas_id
1;Refined paradigms array;Incredible;../fake-data/blob/hipster.txt;Heard Island and McDonald Islands Rustic reinvent;52556;86100;70080;72525;../fake-data/blob/hipster.png;image/png;Wooden;92548;1;1;1
2;transmitting magnetic Wooden;6th generation;../fake-data/blob/hipster.txt;Checking Account Switchable copying;52610;41044;86229;58464;../fake-data/blob/hipster.png;image/png;application Public-key;87122;2;2;2
3;Spring Global;Virginia Towels Refined Concrete Ball;../fake-data/blob/hipster.txt;Solutions;14002;81458;24341;31431;../fake-data/blob/hipster.png;image/png;withdrawal bottom-line bricks-and-clicks;3979;3;3;3
4;sexy Colorado;Iranian Rial British Indian Ocean Territory (Chagos Archipelago) Codes specifically reserved for tes;../fake-data/blob/hipster.txt;indigo Iraqi Dinar;49829;89624;44851;58285;../fake-data/blob/hipster.png;image/png;Investor Home Loan Account RSS;20160;4;4;4
5;Pennsylvania Handmade Plastic Salad;transmit;../fake-data/blob/hipster.txt;Brazilian Real Kina Cape Verde Escudo;25495;33902;73047;76237;../fake-data/blob/hipster.png;image/png;Implementation withdrawal India;62192;5;5;5
6;payment;deposit European Monetary Unit (E.M.U.-6);../fake-data/blob/hipster.txt;Chair;15810;39248;25297;68708;../fake-data/blob/hipster.png;image/png;bi-directional;63774;6;6;6
7;calculating Home;withdrawal;../fake-data/blob/hipster.txt;Branch;42987;54941;87490;23678;../fake-data/blob/hipster.png;image/png;enhance;82965;7;7;7
8;hybrid;Circle EXE Concrete;../fake-data/blob/hipster.txt;Walks Generic Granite Soap;55174;61679;24648;13811;../fake-data/blob/hipster.png;image/png;XSS Mouse;47065;8;8;8
9;BallX;e-services;../fake-data/blob/hipster.txt;Kentucky modular Forward;14001;40434;38224;98250;../fake-data/blob/hipster.png;image/png;Virgin Islands, British;39860;9;9;9
10;Research one-to-one;feed bluetooth;../fake-data/blob/hipster.txt;Road;42971;63489;37542;62757;../fake-data/blob/hipster.png;image/png;array;98218;10;10;10
