id;titulo;cuerpo;numero_lote;tipo_mensaje;tipo_cliente;direccion;idusuario;idcliente;activo;valor_pagar
1;Functionality Angola Missouri;../fake-data/blob/hipster.txt;Future;INFO;PUJADOR;Cyprus Handmade Auto Loan Account;Key navigate Extended;mint green;false;64928
2;calculating online;../fake-data/blob/hipster.txt;synthesizing;INFO;COMPRADOR;Dynamic;Facilitator deploy portals;connect Pants communities;false;91005
3;Luxembourg COM;../fake-data/blob/hipster.txt;24/7 Sierra Leone paradigms;INFO;PUJADOR;recontextualize Ports Kyat;discrete Pennsylvania Checking Account;Ramp;false;56003
4;backing up Operations Hat;../fake-data/blob/hipster.txt;primary Optimization;INFO;COMPRADOR;Alaska;Principal;yellow;false;94358
5;Metrics;../fake-data/blob/hipster.txt;dedicated Licensed;GANDOR;COMPRADOR;Convertible Marks seize FTP;XML;world-class;false;66987
6;Saint Helena application Yuan Renminbi;../fake-data/blob/hipster.txt;action-items;GANDOR;PUJADOR;Music;panel San Marino;leverage;false;37918
7;hackX;../fake-data/blob/hipster.txt;TCP olive unleash;GANDOR;PUJADOR;Optional Buckinghamshire Books;vortals frame Tunnel;Legacy;false;96345
8;paradigms;../fake-data/blob/hipster.txt;Internal;GANDOR;PUJADOR;Ergonomic Concrete Cheese;white Savings Account;Lead Rubber;true;10888
9;Proactive Credit Card Account Ergonomic Rubber Ball;../fake-data/blob/hipster.txt;Rustic generate Grocery;INFO;COMPRADOR;Borders infomediaries;FTP gold Jersey;overriding;true;56534
10;Analyst mint green;../fake-data/blob/hipster.txt;olive projection;ERROR;COMPRADOR;Incredible Concrete Shirt Program;Small Plastic Computer;Cuban Peso Peso Convertible;true;36791
