id;idmunicipios;municipio;estado;departamentos_id
1;20790;applications;overriding withdrawal compress;1
2;79830;Unbranded Cotton Shoes;leading-edge matrix;2
3;9770;syndicate;zero administration Operations;3
4;69834;Concrete Sleek Granite Salad;hacking;4
5;70324;Stream;demand-driven Auto Loan Account;5
6;81148;Salad Avon;Handmade Unbranded Cheese;6
7;28722;Rustic CFP Franc reboot;Clothing Communications;7
8;23840;Incredible Tuna;contingency Berkshire Qatar;8
9;4662;Awesome;Representative Kwacha;9
10;93010;hard drive;4th generation plug-and-play;10
