id;id_evento;id_subasta;id_lote;nroconsignacion;nombrebanco;estado;pago_aceptado;cliente_id
1;paradigms;Yemeni Rial;portals;real-time;bypassing virtual payment;NOAUTORIZADO;false;1
2;Maine Handmade Savings Account;wireless;Refined New York architectures;bandwidth deposit client-server;hack Function-based;ACTIVO;false;2
3;Electronics;District Kids;bypass;Cotton Plain;primary user-facing;INACTIVO;true;3
4;De-engineered SAS Stream;transition;generating;Metrics;Granite payment white;NOAUTORIZADO;true;4
5;Marketing;synthesizing Investment Account;Unbranded;Director Assurance program;Buckinghamshire Kina;GANADOR;false;5
6;Technician Engineer Supervisor;foreground circuit transmitter;Outdoors microchip Cambridgeshire;panel approach;Corporate;ACTIVO;false;6
7;incentivize;Auto Loan Account RSS Sri Lanka Rupee;black calculating relationships;deposit;TCP quantify;INACTIVO;false;7
8;Buckinghamshire;Maryland;Direct;Money Market Account;enhance interface;NOAUTORIZADO;false;8
9;Concrete;Small Concrete Ball Kids;Buckinghamshire;American Samoa;Surinam Dollar Alabama;NOAUTORIZADO;false;9
10;Avon bluetooth Steel;markets;users synergy;flexibility;invoice transmit Station;ACTIVO;true;10
