id;id_evento;id_subasta;id_lote;valor;fechacreacion;aceptado_ganador;pujadores_id
1;Egypt Checking Account;Cambridgeshire portals;bypassing indigo haptic;59910;2020-03-13T01:16:55;false;1
2;Avon Cuban Peso Peso Convertible redundant;Falkland Islands Pound Ameliorated directional;Frozen;79117;2020-03-13T10:28:04;false;2
3;Buckinghamshire;driver withdrawal;Intelligent Plastic Mouse;91719;2020-03-13T05:34:18;true;3
4;azure invoice challenge;Planner deposit;payment;14065;2020-03-13T01:32:49;true;4
5;back up Health;gold THX Bike;maximize Function-based Qatari Rial;18497;2020-03-12T17:17:23;false;5
6;Applications;Indiana;Manor South Dakota;38983;2020-03-12T17:48:56;false;6
7;calculate Personal Loan Account Aruban Guilder;Awesome;web services Tasty Wooden Fish multi-tasking;48331;2020-03-12T20:20:00;false;7
8;Auto Loan Account Plastic Massachusetts;Berkshire Officer;Home Loan Account benchmark Health;77384;2020-03-13T07:12:38;false;8
9;Functionality;Money Market Account instruction set;leverage;93210;2020-03-12T19:22:04;true;9
10;Hat Generic Granite Shirt;Refined Rubber Chicken Orchestrator;incentivize;6242;2020-03-12T21:12:34;true;10
