id;nombre;decripcion;code;especies_id
1;user-facing;../fake-data/blob/hipster.txt;Chips;1
2;Unbranded cross-media;../fake-data/blob/hipster.txt;Maryland parsing;2
3;Refined Plastic Ball Mandatory Rubber;../fake-data/blob/hipster.txt;vertical Planner withdrawal;3
4;local;../fake-data/blob/hipster.txt;Data;4
5;Innovative Synergized Vermont;../fake-data/blob/hipster.txt;payment grid-enabled;5
6;Agent;../fake-data/blob/hipster.txt;synthesize directional;6
7;Keyboard;../fake-data/blob/hipster.txt;Chief bandwidth generate;7
8;24/365 Checking Account;../fake-data/blob/hipster.txt;withdrawal indexing Clothing;8
9;RestX;../fake-data/blob/hipster.txt;mindshare Uzbekistan;9
10;CarXX;../fake-data/blob/hipster.txt;backing up;10
