id;nombre;decripcion;fechainicio;fechafinal;timpo_reclo_ganador;fechacreacion;valorinicial;valoractual;valortope;paga_anticipo;pesobaseporkg;pesototallote;valor_anticipo;imagen_url;imagen_url_content_type;video_url;estado_activo;eventos_id
1;Stand-alone ADP;../fake-data/blob/hipster.txt;2020-03-13T14:03:25;2020-03-13T09:48:56;23633;2020-03-12T21:25:02;70927;15816;16750;false;63493;19805;65098;../fake-data/blob/hipster.png;image/png;Virtual Jewelery;false;1
2;zero tolerance Practical Fresh Shoes Marshall Islands;../fake-data/blob/hipster.txt;2020-03-12T20:54:56;2020-03-13T04:15:04;48814;2020-03-13T04:13:58;20013;90159;60953;false;73835;84001;51229;../fake-data/blob/hipster.png;image/png;Savings Account monetize;true;2
3;copyX;../fake-data/blob/hipster.txt;2020-03-12T22:43:54;2020-03-12T19:35:59;54919;2020-03-12T18:56:47;23007;86867;60336;true;38956;86855;97597;../fake-data/blob/hipster.png;image/png;Ergonomic;false;3
4;Alabama Oklahoma Unbranded Metal Car;../fake-data/blob/hipster.txt;2020-03-12T19:58:03;2020-03-12T19:23:48;77689;2020-03-12T22:29:09;82672;58118;43363;true;15731;19930;86579;../fake-data/blob/hipster.png;image/png;Ergonomic copy International;true;4
5;success Savings Account user-facing;../fake-data/blob/hipster.txt;2020-03-13T10:15:28;2020-03-12T17:36:21;68059;2020-03-13T08:37:46;23419;70452;36035;true;38149;21299;2548;../fake-data/blob/hipster.png;image/png;bluetooth;false;5
6;FordX;../fake-data/blob/hipster.txt;2020-03-13T17:00:40;2020-03-12T22:10:47;51740;2020-03-12T19:51:22;74116;26797;27767;true;27443;70131;20239;../fake-data/blob/hipster.png;image/png;productivity contingency Kids;true;6
7;reboot USB;../fake-data/blob/hipster.txt;2020-03-13T08:24:55;2020-03-13T08:55:37;32460;2020-03-13T16:28:42;36458;52973;41046;false;72425;90113;69730;../fake-data/blob/hipster.png;image/png;Spring Mountains;false;7
8;sky blue Creative Movies;../fake-data/blob/hipster.txt;2020-03-13T11:16:10;2020-03-13T08:42:59;69737;2020-03-12T21:33:54;89835;54930;48736;true;11704;75091;86058;../fake-data/blob/hipster.png;image/png;pricing structure Frozen;false;8
9;yellow Cambridgeshire;../fake-data/blob/hipster.txt;2020-03-13T12:56:54;2020-03-13T14:53:31;31168;2020-03-12T21:18:24;20178;37132;88204;true;56420;65662;74273;../fake-data/blob/hipster.png;image/png;pixel Wooden;true;9
10;Soft Compatible bus;../fake-data/blob/hipster.txt;2020-03-12T22:26:18;2020-03-12T22:59:20;47415;2020-03-13T07:27:02;74613;12604;58263;false;30264;95903;7317;../fake-data/blob/hipster.png;image/png;Iowa;false;10
